Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6KCuy0xCkWieDwOMtHszN2,"'Round Midnight (feat. Thelonious Monk, Zoot Sims, Gerry Mulligan, Percy Heath & Connie Kay) - Live at the Newport Jazz Festival, Newport, RI - July 1955","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis;Thelonious Monk;Zoot Sims;Gerry Mulligan;Percy Heath;Connie Kay",2015-07-17,371960,14,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.55,0.141,10,-18.437,1,0.0604,0.979,0.83,0.182,0.232,111.327,4
spotify:track:5v1KuUYyJvjyNHaiHpjPPw,"Now's the Time - Live at the Newport Jazz Festival, Newport, RI - July 1955","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis",2015-07-17,527746,0,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.601,0.255,5,-15.9,1,0.0439,0.843,0.0000408,0.709,0.627,89.248,4
spotify:track:5lBEUNlPLnPCfwO1CvDffF,"Introduction By Willis Connover - Live at the Newport Jazz Festival, Newport, RI - July 1958","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis",2015-07-17,136146,5,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.542,0.304,9,-20.996,0,0.62,0.108,0.00337,0.0735,0.203,133.307,3
spotify:track:4en4H4tKPOj7iL5fp7srSH,"Ah-Leu-Cha (feat. John Coltrane, Bill Evans, Cannonball Adderley, Paul Chambers & Jimmy Cobb) - Live at the Newport Jazz Festival, Newport, RI - July 1958","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis;John Coltrane;Bill Evans;Cannonball Adderley;Paul Chambers;Jimmy Cobb",2015-07-17,352733,7,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.48,0.615,0,-13.882,1,0.0615,0.485,0.0000834,0.877,0.774,78.046,4
spotify:track:38VSk48t5ldi5YyAnoYIyG,"Straight, No Chaser (feat. John Coltrane, Bill Evans, Cannonball Adderley, Paul Chambers & Jimmy Cobb) - Live at the Newport Jazz Festival, Newport, RI - July 1958","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis;John Coltrane;Bill Evans;Cannonball Adderley;Paul Chambers;Jimmy Cobb",2015-07-17,527560,9,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.511,0.364,0,-16.984,1,0.0683,0.58,0.000282,0.695,0.565,95.534,4
spotify:track:6XXrpwf41fbv6FvX4KLaMR,"Fran-Dance (feat. John Coltrane, Bill Evans, Cannonball Adderley, Paul Chambers & Jimmy Cobb) - Live at the Newport Jazz Festival, Newport, RI - July 1958","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis;John Coltrane;Bill Evans;Cannonball Adderley;Paul Chambers;Jimmy Cobb",2015-07-17,433720,6,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.594,0.206,10,-17.622,0,0.0465,0.745,0.00246,0.0542,0.465,114.936,4
spotify:track:63yCPJFSQWqt2cxnwhDM6O,"Two Bass Hit (feat. John Coltrane, Bill Evans, Cannonball Adderley, Paul Chambers & Jimmy Cobb) - Live at the Newport Jazz Festival, Newport, RI - July 1958","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis;John Coltrane;Bill Evans;Cannonball Adderley;Paul Chambers;Jimmy Cobb",2015-07-17,250613,6,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.365,0.613,0,-14.079,1,0.0549,0.408,0.000907,0.697,0.672,77.865,4
spotify:track:3VyEn08Ur6jAIM7gKqNW6f,"Bye Bye Blackbird (feat. John Coltrane, Bill Evans, Cannonball Adderley, Paul Chambers & Jimmy Cobb) - Live at the Newport Jazz Festival, Newport, RI - July 1958","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis;John Coltrane;Bill Evans;Cannonball Adderley;Paul Chambers;Jimmy Cobb",2015-07-17,550613,8,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.543,0.281,0,-16.204,1,0.0543,0.559,0.000547,0.21,0.512,132.849,4
spotify:track:62OneSPm9LLFDcKmbcJF39,"The Theme (feat. John Coltrane, Bill Evans, Cannonball Adderley, Paul Chambers & Jimmy Cobb) - Live at the Newport Jazz Festival, Newport, RI - July 1958","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis;John Coltrane;Bill Evans;Cannonball Adderley;Paul Chambers;Jimmy Cobb",2015-07-17,169813,5,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.497,0.466,0,-16.21,1,0.0663,0.416,0.0479,0.782,0.593,146.097,4
spotify:track:28anyQ5NZxVBNHWw9zo0ju,"Gingerbread Boy - Live at the Newport Jazz Festival, Newport, RI - July 1966","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis",2015-07-17,509613,6,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.38,0.643,5,-10.78,0,0.0597,0.151,0.0000156,0.937,0.515,124.131,4
spotify:track:1mtUqbOtIjHdaZyyeBmx5R,"All Blues - Live at the Newport Jazz Festival, Newport, RI - July 1966","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis",2015-07-17,627106,7,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.316,0.491,2,-11.738,0,0.0832,0.206,0.00000376,0.08,0.369,178.333,4
spotify:track:7tS65NflLm1jmiLDSwPvEm,"Stella by Starlight - Live at the Newport Jazz Festival, Newport, RI - July 1966","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis",2015-07-17,478426,7,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.359,0.463,5,-11.697,1,0.0566,0.228,0.00119,0.259,0.387,156.132,4
spotify:track:2ILQXkqwzY7lBEEnOZGtwi,"R.J. - Live at the Newport Jazz Festival, Newport, RI - July 1966","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis",2015-07-17,380893,5,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.338,0.449,2,-12.463,0,0.045,0.258,0.00000396,0.151,0.504,150.489,4
spotify:track:4OYMMhhvDG1iGRrCu9HYjE,"Seven Steps to Heaven - Live at the Newport Jazz Festival, Newport, RI - July 1966","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis",2015-07-17,285880,6,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.429,0.628,5,-10.793,1,0.0824,0.118,0.000038,0.134,0.455,84.931,4
spotify:track:6aQrGQgMYhUP7Rtzz5Gois,"The Theme / Closing Announcement by Leonard Feather - Live at the Newport Jazz Festival, Newport, RI - July 1966","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis",2015-07-17,137080,4,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.405,0.592,1,-11.947,1,0.196,0.0956,0.00000993,0.287,0.541,119.495,4
spotify:track:4oigG7stKbCboiUnHrNOC9,"Spoken Introduction by Del Shields - Live at the Newport Jazz Festival, Newport, RI - July 1967","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis",2015-07-17,38200,3,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.437,0.169,11,-22.82,0,0.904,0.655,0.00018,0.337,0.536,164.302,3
spotify:track:3yFbk5GELpl7a1sKzzxLxO,"Gingerbread Boy - Live at the Newport Jazz Festival, Newport, RI - July 1967","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis",2015-07-17,522533,4,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.339,0.854,8,-9.963,1,0.0869,0.056,0.000198,0.625,0.445,114.081,3
spotify:track:3sjucybzJpeHSO5qq79NLl,"Footprints - Live at the Newport Jazz Festival, Newport, RI - July 1967","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis",2015-07-17,473773,5,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.365,0.518,5,-11.681,0,0.0355,0.678,0.000774,0.236,0.376,100.074,3
spotify:track:0Gtz8xLHkGDs2040BvVtnz,"'Round Midnight - Live at the Newport Jazz Festival, Newport, RI - July 1967","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis",2015-07-17,401333,5,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.409,0.389,8,-13.407,1,0.0554,0.521,0.0139,0.27,0.352,126.994,4
spotify:track:7qQB78izc9pW8OiVyBbsn8,"So What - Live at the Newport Jazz Festival, Newport, RI - July 1967","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis",2015-07-17,498346,5,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.225,0.607,0,-13.754,0,0.0846,0.00804,0.0233,0.476,0.548,176.177,4
