Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:729Tqo5aXo5uRKN2he034c,"King of the Underdogs","Metal","Newsted",2013-01-08,360666,32,false,,2026-03-10T23:12:30Z,"thrash metal","Chophouse Records",0.591,0.888,8,-4.601,1,0.034,0.00181,0.0364,0.112,0.567,94.001,4
spotify:track:4sQJXbtxwoKHG7PwMRJ0Ig,"The Kids Aren't Alright","Americana","The Offspring",1998-11-17,179600,5,false,,2026-03-09T20:47:44Z,"punk,skate punk","Columbia",0.52,0.945,1,-4.197,1,0.0335,0.00599,0.0000497,0.0495,0.807,99.603,4
spotify:track:0yfNXxlyXdmP0ue1iJijx1,"Come Undone","Duran Duran","Duran Duran",1993-02-15,256519,78,false,,2026-02-15T05:22:35Z,"new wave,synthpop","Parlophone UK",0.542,0.793,8,-8.203,1,0.0528,0.0423,0.0000039,0.0814,0.709,173.928,4
spotify:track:3fjmSxt0PskST13CSdBUFx,"Somewhere I Belong","Meteora (Bonus Edition)","Linkin Park",2003-03-25,213933,84,false,,2026-02-15T05:15:38Z,"nu metal,rap metal,rock,metal alternativo","Warner Records",0.451,0.951,1,-3.754,1,0.0645,0.000386,0.00000256,0.261,0.441,162.041,4
spotify:track:3bdT1UTMUrGUPhSZ6rwJfr,"Touch, Peel And Stand","The Definitive Collection","Days Of The New",2008-02-10,297813,18,false,,2026-02-15T05:00:07Z,"grunge,post-grunge","Days of the New / Geffen",0.568,0.622,11,-8.15,1,0.03,0.0617,0.00000255,0.301,0.835,81.935,4
spotify:track:2keOybXUjBXImmAjk7UapM,"Shade","Frogstomp (Deluxe Edition) [Remastered]","Silverchair",1995-03-27,242093,52,false,,2026-02-15T04:50:45Z,"grunge,post-grunge","Sony Music Entertainment",0.342,0.585,0,-5.68,1,0.0299,0.0378,0.000528,0.0839,0.366,141.587,3
spotify:track:3qaoPiN33Fc5uJRfhYjN34,"Anthem for the Year 2000","Neon Ballroom","Silverchair",1999,247786,48,false,,2026-02-15T04:42:43Z,"grunge,post-grunge","Epic",0.325,0.768,2,-7.51,1,0.0491,0.0426,0.00000404,0.27,0.454,176.6,4
spotify:track:7qCIP5KHYy9HuXbEEWzmC7,"Pure Massacre","Frogstomp (Deluxe Edition) [Remastered]","Silverchair",1995-03-27,298640,52,false,,2026-02-15T04:40:06Z,"grunge,post-grunge","Sony Music Entertainment",0.226,0.823,2,-5.425,0,0.0421,0.000132,0.0000641,0.0891,0.406,183.809,4
spotify:track:1mgBqsopsnMbShCHOh2z33,"Ice 9","Surfing With The Alien","Joe Satriani",1987,239600,37,false,,2026-01-31T16:27:08Z,"","Epic",0.624,0.811,6,-6.074,1,0.0486,0.0185,0.814,0.171,0.57,110.106,4
spotify:track:3vhKrSxe3fRuS5Ogis76VO,"Flight of Icarus - 2015 Remaster","Piece of Mind (2015 Remaster)","Iron Maiden",1983,230760,63,false,,2026-01-26T19:43:17Z,"heavy metal,metal,hard rock,rock","Parlophone UK",0.368,0.917,6,-4.829,0,0.0772,0.147,0.000121,0.169,0.343,110.455,4
spotify:track:469rBLYJUZHMJLtq2Wch3h,"Hallowed Be Thy Name - 2015 Remaster","The Number of the Beast (2015 Remaster)","Iron Maiden",1982,431093,68,false,,2026-01-26T19:19:34Z,"heavy metal,metal,hard rock,rock","Parlophone UK",0.313,0.882,0,-6.215,1,0.0355,0.0346,0.338,0.45,0.3,103.981,4
spotify:track:0lbjvPjGEe2K0JJOwcLmEs,"Heinous Interruptus","Return to Metalopolis (30th Anniversary Edition)","Chris Poland",1990-01-01,160272,15,false,,2026-01-15T13:37:30Z,"","Amplified Media Services",0.363,0.778,9,-6.542,0,0.0379,0.000224,0.906,0.0752,0.341,85.184,3
spotify:track:7rwM67LyGTDIq33h3Ukc6Y,"I Gotsta Get Paid","La Futura","ZZ Top",2012-09-11,243160,54,false,,2026-01-06T01:45:02Z,"southern rock,rock clássico,blues rock,rock","RRE, LLC / Republic",0.542,0.941,7,-2.225,1,0.0621,0.052,0.000191,0.056,0.445,82.371,4
spotify:track:0ddElnEkmZrJcnLEJ8A8PL,"Holy Diver","The Dio Album","Paul Gilbert",2023-04-07,318053,19,false,,2025-10-19T14:06:37Z,"","Music Theories Recordings",0.444,0.849,10,-6.606,0,0.0375,0.00702,0.022,0.0664,0.394,91.552,4
spotify:track:5OnyojWcVAwQv8dbenzRug,"No Boundaries","No Boundaries","Michael Angelo Batio",1995-01-01,223600,36,false,,2025-10-17T14:57:23Z,"música neoclássica","M.A.C.E. Music",0.18,0.882,7,-10.28,0,0.0419,0.00316,0.597,0.128,0.402,133.155,4
spotify:track:78FzQfooQzB43sGzlpI2At,"Is This Love","Whitesnake's Greatest Hits","Whitesnake",1994-07-04,284400,52,false,,2025-10-09T16:10:20Z,"glam metal,glam rock,hard rock","Parlophone UK",0.493,0.747,0,-8.521,1,0.0298,0.0711,0,0.138,0.536,90.239,4
spotify:track:5hhVpGIBlqAU5yJEOmrk5o,"All My Love - Remaster","In Through the out Door (Remaster)","Led Zeppelin",1979-08-15,353720,69,false,,2025-09-23T21:13:57Z,"rock clássico,rock,hard rock,rock and roll","Atlantic Records",0.554,0.791,7,-8.326,1,0.0288,0.113,0.0000176,0.166,0.697,91.108,4
spotify:track:4LPMkn0QOca8zbv5aSvLq0,"Seek & Destroy","Guitar Warrior","Jake E. Lee;Chuck Billy",2007-01-01,406520,18,false,,2025-09-04T23:42:28Z,"glam metal","Deadline",0.472,0.925,6,-5.148,0,0.134,0.00019,0.228,0.0596,0.452,145.884,4
spotify:track:0PsFsv5xUyX06ZhIEtFkeA,"End of You","End of You","Poppy;Amy Lee;Courtney LaPlante",2025-09-04,192800,69,false,,2025-09-04T23:02:55Z,"","Sumerian Records",0.484,0.955,10,-3.242,0,0.32,0.00342,0.0000357,0.32,0.324,95.02,4
spotify:track:6wEZKaUnOFYZpi76ZGlfeF,"Sally's Song","The Jack 2 Pack (The Nightmare Before Christmas)","Amy Lee",2006-01-01,182533,42,false,,2025-09-04T23:00:29Z,"","Walt Disney Records",0.484,0.291,10,-9.967,1,0.0263,0.696,0.0000107,0.0676,0.038,97.993,4
spotify:track:5w8agmmSkjBh4ScKCAtWqx,"How The Gods Kill","Danzig III: How The Gods Kill","Danzig",1992-01-01,356400,52,false,,2025-08-27T02:02:31Z,"horror punk","American Recordings Catalog P&D",0.303,0.27,3,-12.003,0,0.031,0.0147,0.00401,0.0661,0.0461,89.386,4
spotify:track:5e9TFTbltYBg2xThimr0rU,"The Chain - 2004 Remaster","Rumours (Super Deluxe)","Fleetwood Mac",1977-02-04,270213,88,false,,2025-08-22T05:11:46Z,"yacht rock,rock clássico,soft rock","Rhino/Warner Records",0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553,4
spotify:track:6iJuDBangLQkI7cc9MdjPw,"A National Acrobat (2009 Remaster)","Sabbath Bloody Sabbath","Black Sabbath",1973-12-01,375373,50,false,,2025-08-22T04:45:45Z,"metal,heavy metal,rock,stoner rock,doom metal,hard rock","Sanctuary Records",0.396,0.663,6,-11.696,1,0.061,0.269,0.0139,0.19,0.603,70.372,4
spotify:track:1kY6OOTBmRNzhYmu9xSH3a,"Voodoo Child (Slight Return)","Couldn't Stand The Weather (Legacy Edition)","Stevie Ray Vaughan",1984,478746,56,false,,2025-08-07T15:35:03Z,"blues,blues rock,blues clássico,southern rock,blues moderno","Epic/Legacy",0.436,0.62,10,-11.729,0,0.037,0.000364,0.539,0.11,0.413,94.209,4
spotify:track:5GfkfaKOTQtApatbRaGind,"Smoke On The Water - Live From Osaka,Japan/1972 / 1998 Digital Remaster","Made In Japan","Deep Purple",1972,456640,27,false,,2025-08-06T21:08:08Z,"hard rock,rock clássico,rock","Parlophone Catalogue",0.374,0.644,0,-10.044,1,0.0567,0.00141,0.226,0.382,0.345,119.586,4
spotify:track:2kToqC3bmLM5NJ9h2S56sa,"Child In Time - Live From Osaka,Japan/1972 / 1998 Digital Remaster","Made In Japan","Deep Purple",1972,737693,34,false,,2025-08-06T20:55:40Z,"hard rock,rock clássico,rock","Parlophone Catalogue",0.355,0.578,7,-12.222,1,0.0523,0.00105,0.169,0.96,0.309,121.831,4
spotify:track:702d4wQB46hZuEnkIL6x2E,"Strange Kind of Woman - Remix 96","Fireball (25th Anniversary Edition)","Deep Purple",1971,245666,35,false,,2025-08-06T18:41:53Z,"hard rock,rock clássico,rock","Parlophone UK",0.484,0.85,11,-7.85,0,0.0728,0.000244,0.00000157,0.119,0.679,126.303,4
spotify:track:1Zg2SY78I0Me92RLbhIfC2,"Fools - 1996 Remaster","Fireball (25th Anniversary Edition)","Deep Purple",1971,498973,31,false,,2025-08-06T18:27:25Z,"hard rock,rock clássico,rock","Parlophone UK",0.54,0.517,9,-11.34,1,0.027,0.00294,0.00149,0.0769,0.286,94.173,4
spotify:track:3bLfteEOjNnH7Gpa2NgSlF,"Fireball - 1996 Remaster","Fireball (25th Anniversary Edition)","Deep Purple",1971,204133,49,false,,2025-08-06T18:01:48Z,"hard rock,rock clássico,rock","Parlophone UK",0.557,0.903,6,-12.029,0,0.058,0.000672,0.0052,0.12,0.908,121.267,4
spotify:track:63A4Ie7mIB30qRXMUdO5fi,"Fuel To The Fire","Fuel To The Fire","Rebel Road",2023-10-27,246906,35,false,,2025-07-25T03:04:32Z,"southern rock","Rebel Road",0.387,0.774,2,-4.946,1,0.0372,0.000275,0.0995,0.302,0.202,95.038,4
spotify:track:0JPxPbwSdznYuLv2ymMXsM,"The Fear Within","Purgatorio","Manimal",2018-09-07,338426,15,false,,2025-07-18T20:52:42Z,"power metal,heavy metal","AFM Records",0.527,0.904,2,-5.426,1,0.031,0.0000193,0.00333,0.143,0.294,95.991,4
spotify:track:3ow4KvXEgd2Bq22bjOcbpU,"The Sorcerer","Shockwave","Dead City Ruins",2022-09-16,230440,12,false,,2025-07-18T20:44:11Z,"","AFM Records",0.482,0.941,6,-4.215,1,0.0603,0.000629,0.00000211,0.102,0.49,96.963,4
spotify:track:4c3w4FIKZ7QvedYFPZalCF,"Noche Acosador","God Told Me To","John 5",2012-06-05,202422,36,false,,2025-07-18T01:26:35Z,"","60 Cycle Hum",0.586,0.627,9,-9.158,0,0.0411,0.864,0.81,0.09,0.327,99.979,4
spotify:track:55mJleti2WfWEFNFcBduhc,"Schism","Lateralus","TOOL",2001-05-15,407860,74,false,,2025-07-06T13:21:23Z,"metal progressivo,metal alternativo,rock progressivo,metal","RCA Records Label",0.567,0.714,9,-8.512,0,0.0302,0.0012,0.417,0.186,0.191,107.441,3
spotify:track:06WVG8EF6JxiPTpkBQrIGI,"It’s A Long Way To The Top","Guitar Warrior","Jake E. Lee;Lemmy",2007-01-01,337747,31,false,,2025-07-06T04:16:48Z,"glam metal,rockabilly","Deadline",0.488,0.888,2,-4.664,1,0.0836,0.000125,0.00219,0.0227,0.54,136.105,4
spotify:track:2pQA6hdz5MxlrSajaRUZD6,"Conjurer","The Blood, the Sin and the Djinn","Mendel",2019-01-23,265866,12,false,,2025-06-04T14:05:51Z,"djent,metal progressivo,música neoclássica","MbdL Productions",0.142,0.917,11,-6.951,0,0.0831,0.0000154,0.925,0.311,0.207,180.158,4
spotify:track:3dST95VJrLpwx6Pz917Ptx,"We Will Not Go Quietly","Prayers for the Blessed","Sixx:A.M.",2016-11-18,260866,50,false,,2025-05-26T19:08:45Z,"","Endurance Music Group",0.499,0.939,2,-3.824,0,0.0927,0.000364,0.0118,0.733,0.465,91.017,4
spotify:track:7d8chOZghfA4FBYJAL9vA8,"Doom Crew","Southern Concrete Sludge","Southern Concrete Sludge",2016-03-14,227000,40,false,,2025-05-17T21:14:12Z,"groove metal,sludge metal","Southern Concrete Sludge",0.3,0.696,5,-6.189,1,0.0392,0.000764,0.000219,0.406,0.671,111.74,3
spotify:track:0MOE7E1yOkNg139nw7Fvl1,"Hollow God","Me Against You","Full House Brew Crew",2018-11-16,200280,13,true,,2025-05-17T21:14:05Z,"groove metal","Roar",0.583,0.818,1,-4.691,0,0.0253,0.000204,0.00212,0.0978,0.6,98.024,4
spotify:track:6uWftf5wac4yKx3MBgI1hC,"Blue Fire","Blue Fire","Provoke the Truth;Rob Rath",2024-03-15,207788,26,false,,2025-05-15T21:02:45Z,"metal progressivo","PTT Records",0.206,0.64,8,-9.447,0,0.0668,0.000526,0.821,0.553,0.34,155.755,4
spotify:track:0HEF3uPqNbj3zOw6URZ6pf,"Black Bleeds Through","Black Water Rising","Black Water Rising",2010,217960,29,false,,2025-05-15T19:56:02Z,"stoner rock,groove metal,drone metal,stoner metal","Capital T Productions",0.0907,0.95,6,-2.961,1,0.157,0.000309,0.000172,0.333,0.445,182.091,4
spotify:track:2MemilhkfSgRJF5qKQqlR1,"Plastic Jesus","Blossom & Decay","Black Tooth Grin",2009-09-08,205583,49,true,,2025-05-15T19:18:38Z,"groove metal,sludge metal,stoner metal","Black Tooth Grin",0.406,0.681,10,-8.995,0,0.041,0.000928,0.0143,0.132,0.358,141.846,4
spotify:track:3Dv7393uYYzTmtoQeTdkq6,"Dance With the Devil","Dance With the Devil","Black Water Rising",2021-09-09,237866,18,false,,2025-05-13T03:41:24Z,"stoner rock,groove metal,drone metal,stoner metal","Black Water Rising",0.388,0.941,11,-5.285,1,0.0756,0.000303,0.00000176,0.0369,0.275,140.002,4
spotify:track:5s3LQso6xjJ2hjwE6QbL7A,"Kill the Lights","Social Hand Grenade","TRUCKER DIABLO",2024-10-25,171405,21,false,,2025-05-13T01:40:57Z,"hard rock","Big Unit Records",0.41,0.915,7,-2.798,1,0.0651,0.000383,0.00339,0.156,0.512,170.047,4
spotify:track:7jGNmcgpjebIpsUN3Jc0AL,"Since You've Been Gone","Theatre of the Mind","Black Oak County",2019-04-26,234466,37,false,,2025-05-12T20:58:51Z,"","Mighty Music",0.497,0.891,1,-6.815,0,0.0678,0.000746,0.000104,0.183,0.618,143.155,4
spotify:track:5dOgYZXy4oJfBTaHyXIWht,"Champagne & Reefer","Black to Blues","Black Stone Cherry",2017-09-29,225453,20,false,,2025-05-12T20:55:32Z,"southern rock,post-grunge,hard rock","Mascot Records",0.389,0.893,7,-5.651,1,0.0506,0.0000169,0.531,0.297,0.691,89.174,4
spotify:track:3sLxfLdZCOAg3j1wMtDKbS,"One Thing I Feared","Church Of The Wolf EP","Rob Chapman",2021-07-23,242933,0,false,,2025-05-11T16:23:00Z,"blues moderno,blues rock","Last Man Music",0.511,0.79,5,-6.197,0,0.041,0.000333,0.0000703,0.128,0.297,136.007,4
spotify:track:5s16ZuYtNTA2FdD3Q1R3yQ,"Full Throttle","Full Throttle","Igor Paspalj",2024-04-19,164000,24,false,,2025-05-11T16:03:52Z,"","Igor Paspalj",0.311,0.63,10,-10.603,1,0.0414,0.000153,0.878,0.5,0.391,97.507,4
spotify:track:3hMBdd3v7oKwcx64tibrqb,"Black Star - Live","Tokyo Live","Yngwie Malmsteen",2025-04-25,371733,7,false,,2025-05-07T18:36:54Z,"música neoclássica,power metal,heavy metal,glam metal","Music Theories Recordings",0.285,0.922,11,-5.647,1,0.169,0.0129,0.727,0.692,0.32,136.412,4
spotify:track:6Q8OBYQLb8kVc12hhBOuJu,"Eyes of the World","Andy James Custom Metal Series, Vol. 1","Jam Track Central",2012-09-10,103600,21,false,,2025-05-07T17:15:03Z,"","Jamtrackcentral.com",0.424,0.962,11,-5.805,0,0.0717,0.00024,0.928,0.349,0.436,134.976,4
spotify:track:1X6p0L60ZEA4VxNJYXK4hY,"Death Of Me","Panic","From Ashes to New",2020-08-28,180200,34,false,,2025-04-26T04:27:35Z,"rap rock,rap metal,metalcore","Endurance Music Group",0.481,0.972,2,-3.994,1,0.0601,0.0000651,0,0.13,0.458,97.046,4
spotify:track:7hlXiMxN81uctLsvbtHZ8x,"Sweet Sacrifice","The Open Door","Evanescence",2006-01-01,185533,67,false,,2025-04-26T03:30:33Z,"metal alternativo","The Bicycle Music Company",0.486,0.87,2,-4.947,1,0.0903,0.00679,0.00000315,0.312,0.336,97.013,4
spotify:track:0yAnReI0lfX8IOfb46Vzf3,"Sad Eyes","Sad Eyes","Charlie Musselwhite",2025-04-11,219653,0,false,,2025-04-26T03:07:00Z,"blues,blues moderno,blues clássico,blues rock","Forty Below Records",0.568,0.617,0,-6.991,0,0.0262,0.25,0.00146,0.144,0.623,78.388,4
spotify:track:7BdzFr5Rtrf5MABydjQ9zK,"Fire Inside","III","Black Oak County",2024-10-25,188800,12,false,,2025-04-17T18:54:29Z,"","Mighty Music",0.491,0.935,1,-5.484,1,0.0402,0.0000232,0.0000527,0.39,0.54,90.019,4
spotify:track:4xx8C5IBgBEbmldeTiTDVz,"Hail To The King","SHRED Vol. 1","Sophie Lloyd",2023-06-22,244835,17,false,,2025-04-16T22:12:55Z,"","Sophie Lloyd",0.408,0.832,1,-6.419,1,0.0437,0.0000653,0.827,0.153,0.508,118,4
spotify:track:6fG9cDYAjey726sYsjxVYk,"Lost (feat. Cole Rolland)","Imposter Syndrome","Sophie Lloyd;Cole Rolland",2023-11-09,206254,18,false,,2025-04-16T21:52:37Z,"","Autumn Records Ltd",0.39,0.908,4,-3.739,0,0.0504,0.0000017,0.975,0.203,0.358,90.038,4
spotify:track:6HPqhp8LhfccXzxkziV3Bl,"Cold Clouds (feat. Mike Salow)","It All Starts from Pieces","Distant Dream;Mike Salow",2017-05-27,283838,20,false,,2025-04-16T13:38:51Z,"post-rock,djent,space rock,metal progressivo","Distant Dream",0.502,0.88,2,-6.183,0,0.042,0.00395,0.953,0.102,0.388,140.028,4
spotify:track:2rb1oUtuyGkjayXFE1QGlI,"The Long Road","C.S.I.L","Andy James",2020-08-21,264000,21,false,,2025-04-11T14:46:16Z,"djent,metal progressivo","AJR Productions LTD",0.293,0.79,11,-3.377,0,0.0521,0.0000934,0.0975,0.179,0.26,146.056,4
spotify:track:4gMUyZ1Uv8fy8IfbYQZepH,"Point of No Return","Theory of Mind","Kiko Loureiro",2024-10-18,270173,24,false,,2025-04-11T12:10:19Z,"metal progressivo","Kiko Loureiro",0.263,0.979,2,-4.452,1,0.16,0.00000199,0.916,0.377,0.131,140.03,4
spotify:track:1fJrQDosKbyx41Rwdljs8R,"The Sands Of Time","The Sands Of Time","Andy James",2024-10-18,306000,18,false,,2025-04-11T12:01:57Z,"djent,metal progressivo","AJR Productions LTD",0.321,0.675,11,-5.427,1,0.0437,0.000108,0.967,0.0717,0.088,89.951,4
spotify:track:4NuTTrFjZ9Zyb9Eq2f7V8C,"Is This Love","Is This Love","All The Damn Vampires;Andy James",2025-01-31,274666,27,false,,2025-04-05T00:41:33Z,"synthwave,synthpop,djent,metal progressivo","The Best Music Company",0.463,0.838,0,-3.921,1,0.031,0.000459,0.00013,0.116,0.433,89.935,4
spotify:track:0Dm43YLUlGdePpSbI1ct8h,"Part-Time Lover","In Square Circle","Stevie Wonder",1985-09-13,252560,73,false,,2025-03-31T18:10:02Z,"motown,soul clássico,soul","Motown",0.662,0.624,10,-13.606,0,0.0417,0.165,0,0.0674,0.961,174.513,4
spotify:track:6RNDeRnWsRMjPdNVgupZCs,"I Just Called To Say I Love You","At The Close Of A Century","Stevie Wonder",1999-11-23,262240,77,false,,2025-03-31T17:39:38Z,"motown,soul clássico,soul","UNI/MOTOWN",0.748,0.551,1,-9.054,1,0.0239,0.243,0.00000157,0.0943,0.65,113.535,4
spotify:track:37fyFiShzUZKAaTCEKaaVV,"Shine (Intro)","Void (2025 Remaster)","Juliana Wilson",2024-11-15,68000,3,false,,2025-03-19T12:04:32Z,"","jwbrecords (Juliana Wilson & Boris Ogñenovich)",0.218,0.616,10,-8.531,0,0.0351,0.000454,0.948,0.156,0.201,140.992,4
spotify:track:1UmrTRj6HoeHvP9uCcQhnU,"New Southern","New Southern","Anti-Mortem",2014-04-25,245826,35,true,,2025-03-18T19:34:17Z,"groove metal","Nuclear Blast",0.519,0.836,0,-5.444,1,0.0456,0.000151,0.000323,0.162,0.252,151.603,3
spotify:track:7DUv9S1A6w6WH1fFA0Ls9q,"Twisted","The Hitz","Dimebag Darrell",2017-11-24,194053,52,true,,2025-03-18T19:23:43Z,"groove metal","Rhino",0.432,0.832,1,-7.226,0,0.0427,0.005,0.000777,0.0815,0.445,82.655,4
spotify:track:5GxUHTvxGYGLLfHSbaDvxb,"Oh Yeah","Best+Live","Chickenfoot",2017-03-10,293973,34,false,,2025-03-03T18:53:12Z,"hard rock","earMUSIC",0.459,0.8,2,-4.151,1,0.0285,0.0000558,0.000795,0.148,0.332,95.229,4
spotify:track:0l9uDbOnxueZyAuVtu6De3,"Handful Of Rain","Still the Orchestra Plays - Greatest Hits, Vol. 1 & 2","Savatage",2010-03-19,303120,36,false,,2025-03-03T18:05:21Z,"power metal,heavy metal,metal progressivo,metal","earMUSIC",0.422,0.456,2,-10.27,1,0.0286,0.0465,0.000081,0.113,0.12,82.61,4
spotify:track:5KF5OkAU71Mxp0Tg2d6hcH,"Under the Sun - Every Day Comes and Goes","Volume 4 (Redux)","Zakk Sabbath",2020-10-30,427525,36,false,,2025-02-20T13:26:25Z,"","Magnetic Eye Records",0.248,0.95,6,-4.097,1,0.122,0.000607,0.0298,0.0555,0.374,130.161,4
spotify:track:5FwdGuRcrAfvnrQ6mXKVJX,"Belly of the Beast","The Coffin Train","Diamond Head",2019-05-24,273626,27,false,,2025-02-20T13:23:24Z,"heavy metal,speed metal,metal","Silver Lining Music",0.384,0.954,5,-4.936,0,0.113,0.00000546,0.159,0.165,0.201,136.069,4
spotify:track:1cA5wTjxcS1Z7JBT46CyCc,"Doperide","Every Six Seconds","Saliva",2001-03-27,206666,47,false,,2025-02-20T03:52:19Z,"nu metal,rap metal","Mercury Records",0.514,0.897,8,-3.633,1,0.0634,0.000328,0.0829,0.407,0.707,190.014,4
spotify:track:0UvuqCD6ktYwIW97Pn4p2o,"Fall Into Sleep","Lost and Found","Mudvayne",2005,231933,54,false,,2025-02-20T03:33:20Z,"nu metal,metal alternativo,rap metal,metal","Epic",0.464,0.899,5,-3.814,1,0.0597,0.00367,0.00035,0.11,0.328,146.121,4
spotify:track:32Cg0tum15UAUe4EQ6E0HE,"Comfortably Numb","SHRED Vol. 1","Sophie Lloyd",2023-06-22,310583,23,false,,2025-02-14T20:03:52Z,"","Sophie Lloyd",0.199,0.557,11,-5.599,0,0.0399,0.0305,0.84,0.0977,0.283,126.81,4
spotify:track:4YzypgDDDcahfpvkJ2NneM,"Consume The Fire","The Call of the Void","Nita Strauss",2023-07-07,239881,0,false,,2025-02-14T19:08:54Z,"","Sumerian Records",0.254,0.935,0,-3.533,0,0.081,0.00000299,0.895,0.407,0.307,199.954,4
spotify:track:2F9jMklOJOl65znIH4kc8C,"Crazy","Hits","Seal",2009-11-27,356520,51,false,,2025-02-12T17:47:58Z,"","Warner Records",0.633,0.858,11,-7.42,0,0.0473,0.208,0.0112,0.0655,0.724,102.561,4
spotify:track:3AuRh6ZDfvqWPWPsbq3MZE,"Made of Wax","Delusions","Sophie Lloyd",2018-01-10,250928,18,false,,2025-02-10T20:03:22Z,"","Sophie Lloyd",0.512,0.919,0,-7.044,0,0.0483,0.0000122,0.761,0.11,0.478,125.003,4
spotify:track:1PotmRJ9g0y6zLVbJMKeV2,"Find The Real","One Day Remains","Alter Bridge",2004-08-10,283826,46,false,,2025-02-07T23:15:55Z,"post-grunge,metal alternativo,hard rock","The Bicycle Music Company",0.345,0.936,1,-2.986,1,0.0939,0.0000212,0.00000768,0.119,0.317,75.683,4
spotify:track:2W5EvgsEBmBWqZz4GumrXA,"Bad Horsie","Alien Love Secrets","Steve Vai",1995-03-21,350840,43,false,,2025-02-07T22:04:51Z,"","Epic",0.543,0.771,5,-8.855,1,0.0457,0.000276,0.776,0.804,0.638,127.038,4
spotify:track:5Ms33wMo1MxDuLHekXX9S9,"Sick Day","Sick Day","Teen Mortgage",2023-03-10,123337,43,false,,2025-02-07T16:19:53Z,"egg punk,punk,garage rock","King Pizza Records",0.524,0.994,6,-4.364,1,0.0696,0.0000467,0.0000122,0.357,0.309,119.953,4
spotify:track:5sFDReWLrZHLFZFjHsjUTS,"Would? (2022 Remaster)","Dirt (2022 Remaster)","Alice In Chains",1992-09-29,206773,78,false,,2025-02-02T06:53:58Z,"grunge,post-grunge","Columbia",0.297,0.842,6,-7.457,1,0.0488,0.000286,0.0000091,0.0848,0.586,100.127,4
spotify:track:4vO9dmzNRqDhFY3jD1a3P7,"Mississippi Queen","Climbing!","Mountain",1970,151293,67,false,,2025-02-02T06:52:17Z,"rock clássico,blues rock,southern rock","Columbia/Legacy",0.581,0.624,9,-8.346,1,0.0777,0.0987,0,0.0411,0.637,139.714,4
spotify:track:4gHnSNHs8RyVukKoWdS99f,"Something In The Way","Nevermind (Remastered)","Nirvana",1991-09-26,232146,73,false,,2025-02-02T06:49:52Z,"grunge,rock","Geffen",0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218,4
spotify:track:64ywvJE5j3PmRHzuah2WKR,"I Wanna Rock","Stay Hungry","Twisted Sister",1984-05-10,183390,70,false,,2025-02-02T06:49:43Z,"glam metal,glam rock","BMG Rights Management (US) LLC",0.503,0.914,2,-2.972,1,0.0717,0.00507,0.0137,0.355,0.67,106.244,4
spotify:track:5NTZM8YYeKM2YsGSffVIge,"Loser","Mellow Gold","Beck",1994-03-01,235000,68,false,,2025-02-02T06:49:16Z,"anti-folk","DGC",0.615,0.616,6,-10.39,0,0.133,0.0399,0.000129,0.348,0.836,170.776,4
spotify:track:1gcESexgftSuLuML57Y69q,"All Right Now","Fire And Water","Free",1970-06-26,330643,69,false,,2025-02-02T06:43:36Z,"rock clássico,blues rock","UMC (Universal Music Catalogue)",0.787,0.472,2,-12.824,1,0.0832,0.221,0.000336,0.153,0.824,120.059,4
spotify:track:5ac3D4hNLW7NFhYFCThXgh,"Careless Whisper - Remastered","Careless Whisper EP","George Michael",2024-10-18,303494,80,false,,2025-02-02T06:40:50Z,"","Sony Music CG",0.581,0.643,2,-8.525,0,0.0334,0.283,0.00000223,0.0923,0.787,153.049,4
spotify:track:18AXbzPzBS8Y3AkgSxzJPb,"In The Air Tonight - 2015 Remastered","Face Value (Deluxe Editon)","Phil Collins",1981-01-01,336453,82,false,,2025-02-02T06:39:30Z,"soft rock","Rhino",0.446,0.239,0,-13.945,1,0.0316,0.551,0.0000041,0.0697,0.298,189.507,4
spotify:track:6QewNVIDKdSl8Y3ycuHIei,"Even Flow","Ten","Pearl Jam",1991-08-27,292579,80,true,,2025-02-02T06:34:19Z,"grunge,rock,post-grunge","Epic/Legacy",0.394,0.944,10,-6.506,0,0.0761,0.00178,0.00000454,0.298,0.265,105.338,4
spotify:track:3dmqIB2Qxe2XZobw9gXxJ6,"Mary Jane's Last Dance","Greatest Hits","Tom Petty and the Heartbreakers",2008-05-20,273600,76,false,,2025-02-02T06:27:40Z,"rock clássico","Geffen",0.464,0.654,7,-9.058,0,0.0608,0.0276,0.00000134,0.328,0.53,169.512,4
spotify:track:2Cdvbe2G4hZsnhNMKyGrie,"I Love Rock 'N Roll","I Love Rock 'N' Roll (Expanded Edition)","Joan Jett & the Blackhearts",1981-11-18,175173,78,false,,2025-02-02T05:09:22Z,"rock","Legacy Recordings",0.535,0.716,4,-5.025,1,0.0431,0.326,0,0.659,0.901,94.379,4
